,Date,Time,,,
0,12/24/19,12:54:00,,,
1,12/23/19,9:49:57,,,
2,12/23/19,4:25:00,,,
3,12/23/19,2:40:45,,,
4,12/23/19,0:21:49,,,
5,12/21/19,7:01:01,,,
6,12/21/19,3:49:53,,,
7,12/21/19,0:36:40,,,
8,12/19/19,12:29:18,,,
9,12/19/19,6:47:47,,,
10,12/18/19,20:24:08,,,
11,12/18/19,3:57:21,,,
12,12/17/19,21:21:10,,,
13,12/17/19,3:50:28,,,
14,12/24/19,12:54:00,,,
15,12/23/19,9:49:57,,,
16,12/23/19,4:25:00,,,
17,12/23/19,2:40:45,,,
18,12/23/19,0:21:49,,,
19,12/22/19,9:39:49,,,
20,12/21/19,21:05:34,,,
21,12/21/19,7:01:01,,,
22,12/21/19,4:10:11,,,
23,12/21/19,3:49:53,,,
24,12/21/19,3:28:41,,,
25,12/21/19,2:00:04,,,
26,12/21/19,0:36:40,,,
27,12/20/19,20:58:08,,,
28,12/20/19,12:14:32,,,
29,12/20/19,6:03:42,,,
30,12/20/19,2:00:06,,,
31,12/19/19,19:29:21,,,
32,12/19/19,12:29:18,,,
33,12/19/19,6:47:47,,,
34,12/19/19,2:06:42,,,
35,12/18/19,20:24:08,,,
36,12/18/19,17:52:11,,,
37,12/18/19,16:12:24,,,
38,12/18/19,3:57:21,,,
39,12/18/19,1:00:07,,,
40,12/17/19,21:22:01,,,
41,12/17/19,21:21:10,,,
42,12/17/19,10:00:02,,,
43,12/17/19,3:50:28,,,
44,12/24/19,12:23:07,,,
45,12/23/19,2:50:18,,,
46,12/23/19,0:21:49,,,
47,12/22/19,20:27:58,,,
48,12/22/19,17:17:20,,,
49,12/22/19,13:56:50,,,
50,12/22/19,1:33:51,,,
51,12/21/19,21:17:21,,,
52,12/21/19,17:40:52,,,
53,12/21/19,4:25:01,,,
54,12/21/19,3:51:06,,,
55,12/21/19,3:32:20,,,
56,12/21/19,3:17:43,,,
57,12/20/19,7:11:02,,,
58,12/19/19,22:57:12,,,
59,12/19/19,0:45:32,,,
60,12/18/19,17:06:31,,,
61,12/18/19,16:42:49,,,
62,12/18/19,15:20:21,,,
63,12/18/19,15:08:30,,,
64,12/18/19,11:04:06,,,
65,12/17/19,20:31:08,,,
66,12/17/19,17:58:01,,,
67,12/17/19,8:40:45,,,
68,12/17/19,8:40:43,,,
69,12/17/19,8:39:19,,,
70,12/17/19,8:37:35,,,
71,12/17/19,3:39:50,,,
72,12/24/19,15:45:42,,,
73,12/24/19,13:00:27,,,
74,12/24/19,12:23:07,,,
75,12/24/19,9:10:57,,,
76,12/24/19,7:55:43,,,
77,12/24/19,7:55:10,,,
78,12/24/19,6:11:42,,,
79,12/24/19,5:34:32,,,
80,12/24/19,2:26:04,,,
81,12/24/19,0:43:12,,,
82,12/23/19,22:30:36,,,
83,12/23/19,21:39:57,,,
84,12/23/19,16:47:21,,,
85,12/23/19,16:36:58,,,
86,12/23/19,16:02:45,,,
87,12/23/19,13:38:05,,,
88,12/23/19,13:00:59,,,
89,12/23/19,7:51:11,,,
90,12/23/19,5:07:03,,,
91,12/23/19,2:50:18,,,
92,12/23/19,0:49:00,,,
93,12/23/19,0:21:49,,,
94,12/22/19,22:13:52,,,
95,12/22/19,20:27:58,,,
96,12/22/19,19:08:38,,,
97,12/22/19,18:07:34,,,
98,12/22/19,18:05:27,,,
99,12/22/19,17:17:20,,,
100,12/22/19,16:13:35,,,
101,12/22/19,16:07:53,,,
102,12/22/19,13:56:50,,,
103,12/22/19,13:00:37,,,
104,12/22/19,11:43:00,,,
105,12/22/19,11:16:35,,,
106,12/22/19,5:50:51,,,
107,12/22/19,2:23:12,,,
108,12/22/19,1:33:51,,,
109,12/21/19,21:38:57,,,
110,12/21/19,21:17:21,,,
111,12/21/19,19:55:18,,,
112,12/21/19,19:05:38,,,
113,12/21/19,17:49:39,,,
114,12/21/19,17:40:52,,,
115,12/21/19,14:05:11,,,
116,12/21/19,14:02:58,,,
117,12/21/19,13:22:29,,,
118,12/21/19,13:00:27,,,
119,12/21/19,6:57:30,,,
120,12/21/19,6:30:22,,,
121,12/21/19,6:20:30,,,
122,12/21/19,4:45:31,,,
123,12/21/19,4:25:01,,,
124,12/21/19,3:51:06,,,
125,12/21/19,3:32:20,,,
126,12/21/19,3:17:43,,,
127,12/21/19,2:00:04,,,
128,12/21/19,1:01:40,,,
129,12/21/19,1:01:09,,,
130,12/21/19,0:50:52,,,
131,12/20/19,20:09:23,,,
132,12/20/19,19:25:08,,,
133,12/20/19,19:15:34,,,
134,12/20/19,14:00:50,,,
135,12/20/19,13:01:11,,,
136,12/20/19,11:50:19,,,
137,12/20/19,7:20:05,,,
138,12/20/19,7:11:02,,,
139,12/20/19,4:04:14,,,
140,12/20/19,2:28:44,,,
141,12/20/19,0:58:45,,,
142,12/20/19,0:56:40,,,
143,12/19/19,23:01:26,,,
144,12/19/19,22:57:12,,,
145,12/19/19,18:27:07,,,
146,12/19/19,16:56:52,,,
147,12/19/19,16:25:55,,,
148,12/19/19,16:21:10,,,
149,12/19/19,13:00:27,,,
150,12/19/19,9:49:46,,,
151,12/19/19,7:41:06,,,
152,12/19/19,6:47:47,,,
153,12/19/19,4:10:11,,,
154,12/19/19,4:08:47,,,
155,12/19/19,3:51:05,,,
156,12/19/19,3:48:31,,,
157,12/19/19,3:31:26,,,
158,12/19/19,2:06:42,,,
159,12/19/19,0:45:32,,,
160,12/18/19,23:55:03,,,
161,12/18/19,23:48:04,,,
162,12/18/19,22:59:26,,,
163,12/18/19,22:45:27,,,
164,12/18/19,19:12:42,,,
165,12/18/19,17:06:31,,,
166,12/18/19,16:42:49,,,
167,12/18/19,15:53:59,,,
168,12/18/19,15:36:52,,,
169,12/18/19,15:33:27,,,
170,12/18/19,15:20:21,,,
171,12/18/19,15:08:30,,,
172,12/18/19,14:44:27,,,
173,12/18/19,13:00:36,,,
174,12/18/19,11:04:06,,,
175,12/18/19,5:28:46,,,
176,12/18/19,5:28:31,,,
177,12/18/19,3:10:50,,,
178,12/18/19,2:11:52,,,
179,12/18/19,1:02:51,,,
180,12/18/19,1:02:04,,,
181,12/18/19,1:00:07,,,
182,12/18/19,0:06:57,,,
183,12/17/19,22:51:11,,,
184,12/17/19,22:47:47,,,
185,12/17/19,22:46:09,,,
186,12/17/19,22:29:47,,,
187,12/17/19,22:27:30,,,
188,12/17/19,22:24:32,,,
189,12/17/19,22:22:11,,,
190,12/17/19,21:51:17,,,
191,12/17/19,20:59:58,,,
192,12/17/19,20:31:08,,,
193,12/17/19,17:58:01,,,
194,12/17/19,13:01:48,,,
195,12/17/19,8:40:45,,,
196,12/17/19,8:40:43,,,
197,12/17/19,8:39:19,,,
198,12/17/19,8:37:35,,,
199,12/17/19,8:01:40,,,
200,12/17/19,3:39:50,,,